"('date',_'')","('close',_'005930.ks')","('high',_'005930.ks')","('low',_'005930.ks')","('open',_'005930.ks')","('volume',_'005930.ks')"
2000-02-07,3730.22705078125,3794.295836004592,3587.8519725071565,3659.0395116442032,64140000
2000-02-08,3865.4833984375,3901.077168220534,3780.058350958218,3801.4146128280386,58460000
2000-02-09,4071.92724609375,4071.9272460937505,3901.0771518520546,3958.027183265953,51050000
2000-02-10,4100.4013671875,4185.826395670573,3986.5013292100693,4029.213843451606,61845000
2000-02-11,4057.688720703125,4242.77627638432,4043.4512164199564,4242.77627638432,34660000
2000-02-14,3829.8896484375,4029.2147602520913,3801.414632463987,3986.5022362918216,44140000
2000-02-15,3701.751953125,3858.364535757212,3659.0394305889427,3829.8895207331734,38315000
2000-02-16,3559.37548828125,3701.7505078125,3402.762966796875,3687.513005859375,73115000
2000-02-17,3616.326904296875,3630.564411794107,3495.308090570405,3516.6643518162527,65185000
2000-02-18,3772.940673828125,4007.859621443839,3673.278089991156,3822.77196574661,108750000
2000-02-21,3609.207763671875,3744.464070397251,3580.7327517296903,3701.751552483974,26485000
2000-02-22,3644.80322265625,3730.2282981872554,3559.378147125244,3559.378147125244,24180000
2000-02-23,3659.03955078125,3744.4645986594114,3630.5645348218627,3715.9895827000246,27720000
2000-02-24,3609.207763671875,3730.2265644261583,3602.0890106863285,3644.8015285996053,26075000
2000-02-25,3644.80322265625,3666.159491539001,3545.140634536743,3616.328197479248,27875000
2000-02-28,3417.00146484375,3594.9702911376953,3417.00146484375,3559.3765258789062,30140000
2000-02-29,3644.80322265625,3659.0407352447505,3445.4780464172363,3488.1905841827393,51820000
2000-03-01,3644.80322265625,3644.80322265625,3644.80322265625,3644.80322265625,0
2000-03-02,4185.82568359375,4185.82568359375,3929.5506417410716,4185.82568359375,117750000
2000-03-03,4271.25244140625,4449.221293131511,4185.827392578125,4413.627522786458,140990000
2000-03-06,4014.977783203125,4306.8467355281755,3986.502763464096,4271.252960854388,39150000
2000-03-07,4000.739990234375,4014.9774990964193,3901.0774282000666,3986.502481372331,30070000
2000-03-08,4214.302734375,4271.252771326013,3915.315040382179,3929.5525496199325,32460000
2000-03-09,4000.739990234375,4257.015149751168,4000.739990234375,4249.8963953201455,55890000
2000-03-10,3943.790283203125,4128.8779138227665,3929.5527731554607,4121.759158798935,28605000
2000-03-13,3687.513916015625,3908.195250757873,3673.2764105483834,3901.076498024252,32215000
2000-03-14,3708.8701171875,3829.8889117982244,3673.2763540666983,3680.395106690859,30060000
2000-03-15,3844.1279296875,3844.1279296875,3644.8027777777775,3701.752821180555,46105000
2000-03-16,3844.1279296875,3929.5529947916666,3815.6529079861107,3901.0779730902777,28795000
2000-03-17,3901.076416015625,3958.0264366873857,3844.126395343864,3943.7889315194457,24080000
2000-03-20,4029.21484375,4064.8086144545055,3936.671039918286,3986.5023189045937,26365000
2000-03-21,4185.82568359375,4228.538190569197,3993.619402204241,4057.688162667411,44925000
2000-03-22,4413.62646484375,4484.813988470262,4185.826389238911,4242.776408140121,86975000
2000-03-23,4413.62646484375,4684.139054624496,4413.62646484375,4612.951530997983,64950000
2000-03-24,4840.7529296875,5068.553067555147,4399.390162568934,4499.052722886029,90260000
2000-03-27,4840.7529296875,5011.603033088235,4769.56538660386,4954.652998621324,67730000
2000-03-28,5004.4853515625,5168.2167357530225,4854.991479040718,4911.9415257156825,74425000
2000-03-29,5452.966796875,5467.204308093995,4968.891415429178,5004.485193476665,78090000
2000-03-30,5018.72216796875,5381.778665226064,5018.72216796875,5353.303645833334,74645000
2000-03-31,4769.56494140625,5032.958826230178,4733.971173186801,4840.75247784515,63855000
2000-04-03,5054.31494140625,5210.927517055458,4883.464858879842,4926.177379511444,56805000
2000-04-04,4840.7529296875,5189.571890797334,4741.090369370404,4983.128015854779,58340000
2000-04-05,4840.7529296875,4840.7529296875,4840.7529296875,4840.7529296875,0
2000-04-06,4755.3271484375,4954.652238491766,4755.3271484375,4883.464706329528,47235000
2000-04-07,5125.50244140625,5168.214961751302,4826.5147989908855,4883.464826117622,42355000
2000-04-10,5196.69091796875,5339.066011611729,5125.50337114726,5339.066011611729,35885000
2000-04-11,5054.31494140625,5125.502475792254,4947.533639827245,5125.502475792254,29075000
2000-04-12,4919.0595703125,5004.484627973498,4883.465796287084,4954.653344337916,35250000
2000-04-13,4919.0595703125,4919.0595703125,4919.0595703125,4919.0595703125,0
2000-04-14,4456.33984375,4755.327500998403,4456.33984375,4698.377471046326,62365000
2000-04-17,3929.552001953125,4093.283335367839,3801.4144366720448,3858.3644656858582,78050000
2000-04-18,4299.72802734375,4442.103127586921,4171.590437124896,4413.628107538287,73730000
2000-04-19,4271.25244140625,4598.7151285807295,4171.5898844401045,4484.8150634765625,60615000
2000-04-20,4285.490234375,4385.152797965116,4214.3026889534885,4242.7777071220935,37335000
2000-04-21,4306.84716796875,4399.390991412707,4249.89712277247,4313.965923618285,26425000
2000-04-24,4128.8759765625,4292.607265288254,4100.400969827586,4249.894755185884,27830000
2000-04-25,4014.977783203125,4100.402842420213,3929.5527239860376,4000.7402733336107,34900000
2000-04-26,3986.504150390625,4171.591843087333,3986.504150390625,4143.116813441685,39290000
2000-04-27,3844.1279296875,4057.6905924479165,3844.1279296875,3929.5529947916666,54110000
2000-04-28,4271.25244140625,4342.4399820963545,3886.8397216796875,3915.314737955729,75530000
2000-05-01,4271.25244140625,4271.25244140625,4271.25244140625,4271.25244140625,0
2000-05-02,4470.57861328125,4648.547507122064,4356.678521223129,4413.62856725219,72335000
2000-05-03,4399.39013671875,4456.340170851032,4335.321348319933,4442.102662317961,26585000
2000-05-04,4399.39013671875,4527.527713516383,4370.915119652609,4427.865153784891,26100000
2000-05-05,4399.39013671875,4399.39013671875,4399.39013671875,4399.39013671875,0
2000-05-08,4669.90234375,4769.564893769055,4484.814750857469,4556.002286585366,52695000
2000-05-09,4669.90234375,4669.90234375,4669.90234375,4669.90234375,0
2000-05-10,4520.40966796875,4548.884689499262,4463.459624907727,4499.053401820866,27620000
2000-05-11,4520.40966796875,4520.40966796875,4520.40966796875,4520.40966796875,0
2000-05-12,4385.15234375,4584.477450284091,4385.15234375,4570.239942674513,47170000
2000-05-15,4584.4755859375,4648.544344126068,4427.863065921001,4477.694322289887,47120000
2000-05-16,4840.7529296875,4840.7529296875,4634.309054744945,4634.309054744945,39620000
2000-05-17,4926.17822265625,5225.165918250993,4926.17822265625,4983.1282599123915,76235000
2000-05-18,4840.7529296875,4983.128015854779,4755.3278779871325,4798.040403837316,36580000
2000-05-19,4911.93994140625,4911.93994140625,4698.377335258152,4798.039884793931,41450000
2000-05-22,4748.20751953125,4862.107549984774,4712.613760014524,4783.801279047976,36385000
2000-05-23,4541.76513671875,4769.565268967966,4520.4088743203865,4627.190186312207,41290000
2000-05-24,4413.62646484375,4534.645255008821,4214.301398689516,4385.151455393145,72150000
2000-05-25,4271.25244140625,4541.7650960286455,4221.421162923177,4506.171325683594,85965000
2000-05-26,3986.504150390625,4264.135689435686,3986.504150390625,4200.066872732979,67100000
2000-05-29,3886.839111328125,4043.451676253434,3730.226546402816,3744.4640523051166,67130000
2000-05-30,3886.839111328125,3886.839111328125,3886.839111328125,3886.839111328125,0
2000-05-31,4385.15234375,4477.696143212256,4242.777267654221,4271.252282873376,83935000
2000-06-01,4484.81591796875,4563.122227647569,4356.6783203125,4413.628363715277,50230000
2000-06-02,4712.61376953125,4911.938823227436,4634.30749843632,4762.4450329552965,84385000
2000-06-05,4798.04052734375,4968.890635142341,4755.328000394103,4926.178108192693,48010000
2000-06-06,4798.04052734375,4798.04052734375,4798.04052734375,4798.04052734375,0
2000-06-07,4840.7529296875,4968.890507238051,4634.309054744945,4698.37784352022,53365000
2000-06-08,4648.5458984375,4954.6522899119445,4648.5458984375,4741.089691208844,58550000
2000-06-09,4997.36572265625,5011.6032318376065,4648.546747713008,4698.378029847757,63860000
